filename,total_magnetization
POSCAR_0.vasp,2.0165364
POSCAR_1.vasp,8.0185275
POSCAR_2.vasp,7.3465312
POSCAR_3.vasp,2.0479731
POSCAR_4.vasp,3.54e-05
POSCAR_5.vasp,0.0
POSCAR_6.vasp,1.9167292999999992
POSCAR_7.vasp,7.9989245
POSCAR_8.vasp,20.0067112
POSCAR_9.vasp,16.0059018
POSCAR_10.vasp,16.0023262
POSCAR_11.vasp,24.0000003
POSCAR_12.vasp,23.999999
POSCAR_13.vasp,15.9989688
POSCAR_14.vasp,13.9952801
POSCAR_15.vasp,6.9721765
POSCAR_16.vasp,48.0089536
POSCAR_17.vasp,16.0053175
POSCAR_18.vasp,24.0069763
POSCAR_19.vasp,24.0
POSCAR_20.vasp,16.0015293
POSCAR_21.vasp,23.9999998
POSCAR_22.vasp,4.0066067
POSCAR_23.vasp,5.220665
POSCAR_24.vasp,0.0005337
POSCAR_25.vasp,4.0067708
POSCAR_26.vasp,9.699999999999999e-06
POSCAR_27.vasp,3.9777358
POSCAR_28.vasp,3.9987316
POSCAR_29.vasp,0.0003899
POSCAR_30.vasp,0.0
POSCAR_31.vasp,2.6032421
POSCAR_32.vasp,3.9748815
POSCAR_33.vasp,3.13e-05
POSCAR_34.vasp,2.9998346
POSCAR_35.vasp,12.0000006
POSCAR_36.vasp,6.0000003
POSCAR_37.vasp,6.0000002
POSCAR_38.vasp,19.9997307
POSCAR_39.vasp,20.0000001
POSCAR_40.vasp,4.9999528
POSCAR_41.vasp,20.0003791
POSCAR_42.vasp,0.997795299999999
POSCAR_43.vasp,3.998122399999999
POSCAR_44.vasp,0.0001582
POSCAR_45.vasp,1.999905
POSCAR_46.vasp,3.9991181
POSCAR_47.vasp,20.0051098
POSCAR_48.vasp,19.9878786
POSCAR_49.vasp,12.0002389
POSCAR_50.vasp,2.004342
POSCAR_51.vasp,1.2542997
POSCAR_52.vasp,32.0
POSCAR_53.vasp,8.0012349
POSCAR_54.vasp,0.006208399999999
POSCAR_55.vasp,3.9994139
POSCAR_56.vasp,2.0018387
POSCAR_57.vasp,4.0143909
POSCAR_58.vasp,1.3669357
POSCAR_59.vasp,16.0048208
POSCAR_60.vasp,16.0000011
POSCAR_61.vasp,4.4000000000000006e-05
POSCAR_62.vasp,0.2896073
POSCAR_63.vasp,0.0019334999999990003
POSCAR_64.vasp,0.0005566999999990001
POSCAR_65.vasp,0.0
POSCAR_66.vasp,0.0004519
POSCAR_67.vasp,1.69e-05
POSCAR_68.vasp,1.0540207
POSCAR_69.vasp,0.0
POSCAR_70.vasp,0.0034796999999990004
POSCAR_71.vasp,9.240000000000001e-05
POSCAR_72.vasp,0.0015317999999990002
POSCAR_73.vasp,0.0001076
POSCAR_74.vasp,0.0001165
POSCAR_75.vasp,19.9999994
POSCAR_76.vasp,30.0089011
POSCAR_77.vasp,4.9994461999999995
POSCAR_78.vasp,20.0068319
POSCAR_79.vasp,0.000113899999999
POSCAR_80.vasp,1e-07
POSCAR_81.vasp,0.0002
POSCAR_82.vasp,0.0
POSCAR_83.vasp,2.96e-05
POSCAR_84.vasp,0.2740433
POSCAR_85.vasp,2.6640903
POSCAR_86.vasp,0.000811
POSCAR_87.vasp,2.0033388
POSCAR_88.vasp,1.6249160999999992
POSCAR_89.vasp,0.0956451
POSCAR_90.vasp,2.5083674
POSCAR_91.vasp,2.0247608
POSCAR_92.vasp,5.8699255
POSCAR_93.vasp,0.0
POSCAR_94.vasp,0.0139247
POSCAR_95.vasp,0.0770356
POSCAR_96.vasp,0.0
POSCAR_97.vasp,0.0
POSCAR_98.vasp,0.3616125
POSCAR_99.vasp,0.0
POSCAR_100.vasp,0.0
POSCAR_101.vasp,0.0
POSCAR_102.vasp,0.0
POSCAR_103.vasp,0.0
POSCAR_104.vasp,0.2176743
POSCAR_105.vasp,0.0
POSCAR_106.vasp,0.0
POSCAR_107.vasp,0.0
POSCAR_108.vasp,0.0
POSCAR_109.vasp,0.000127
POSCAR_110.vasp,0.0
